Gene Name,Protein ID,log2-fold change,p_value,adjusted p_value,Protein.names,resolved_locus_tag,resolution_method
Synpcc7942_0109,Q31S28,1.21,0.000209,0.00108, DNA-binding ferritin-like protein (Oxidative damage protectant)-like OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0109 PE=3 SV=1,Synpcc7942_0109,locus_tag:Gene Name
thiC,Q31P93,1.21,0.0176,0.0431, Phosphomethylpyrimidine synthase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=thiC PE=3 SV=1,Synpcc7942_1096,tier1:Gene Name
cpcB1,P06539,1.23,0.000244,0.00121, C-phycocyanin beta chain OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=cpcB1 PE=1 SV=2;sp|P00312|PHCB1_SYNP6 C-phycocyanin-1 beta chain OS=Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) OX=269084 GN=cpcB1 PE=1,Synpcc7942_1052,tier1:Gene Name
nblB,Q9Z3G5,1.23,7.9e-05,0.000504, PBS lyase HEAT-like repeat OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=nblB PE=4 SV=1,Synpcc7942_1823,tier1:Gene Name
Synpcc7942_0473,Q31R14,1.23,4.53e-05,0.000338, NADH:flavin oxidoreductases Old Yellow Enzyme family-like OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0473 PE=4 SV=1,Synpcc7942_0473,locus_tag:Gene Name
gltX,Q8L1E5,1.24,0.105,0.192, Glutamate--tRNA ligase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=gltX PE=3 SV=1,Synpcc7942_2393,multi:Gene Name
Synpcc7942_0901,Q31PT8,1.27,0.00192,0.0064, Haloalkane dehalogenase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0901 PE=4 SV=1,Synpcc7942_0901,locus_tag:Gene Name
Synpcc7942_0285,Q31RK2,1.28,0.025,0.0586, Carbon dioxide concentrating mechanism protein CcmK OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0285 PE=1 SV=1,Synpcc7942_0285,locus_tag:Gene Name
asd,Q31M41,1.31,0.0184,0.045, Aspartate-semialdehyde dehydrogenase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=asd PE=3 SV=1,Synpcc7942_1848,tier1:Gene Name
tr|Q31L49|Q31L49_SYNE7,Q31L49,1.33,0.000355,0.00155, Peptide methionine sulfoxide reductase MsrB OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=msrB PE=3 SV=1,Synpcc7942_2190,multi:Protein ID
Synpcc7942_1115,Q31P74,1.35,0.000271,0.00131, Usp domain-containing protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1115 PE=4 SV=1,Synpcc7942_1115,locus_tag:Gene Name
cpcH,Q44112,1.37,3.01e-05,0.000251, Phycobilisome rod linker polypeptide OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Sy,,unresolved
Synpcc7942_0096,Q31S41,1.39,0.000313,0.00143, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0096 PE=4 SV=1,Synpcc7942_0096,locus_tag:Gene Name
Synpcc7942_0684,Q31QF3,1.39,0.000321,0.00144, 3-oxoacyl-[acyl-carrier-protein] reductase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0684 PE=1 SV=1,Synpcc7942_0684,locus_tag:Gene Name
mtnD,Q31QM9,1.4,0.000272,0.00131, Acireductone dioxygenase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=mtnD PE=3 SV=2,,ambiguous
Synpcc7942_1434,Q31NA5,1.4,0.00765,0.0207, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1434 PE=4 SV=1,Synpcc7942_1434,locus_tag:Gene Name
Synpcc7942_2160,Q31L79,1.45,0.0925,0.172, Alanine-glyoxylate aminotransferase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_2160 PE=3 SV=1,Synpcc7942_2160,locus_tag:Gene Name
ftsZ,O85785,1.46,8.77e-05,0.000545, Cell division protein FtsZ OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=ftsZ PE=3 SV=1,Synpcc7942_2378,tier1:Gene Name
trpC,Q8KPR4,1.48,1.19e-05,0.000129, Indole-3-glycerol phosphate synthase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=trpC PE=3 SV=2,Synpcc7942_1197,multi:Gene Name
Synpcc7942_0988,Q31PK1,1.49,0.000301,0.0014, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0988 PE=4 SV=1,Synpcc7942_0988,locus_tag:Gene Name
Synpcc7942_2451,Q31KD8,1.49,4.19e-06,4.95e-05, Putative type IV pilus assembly protein PilO OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_2451 PE=4 SV=1,Synpcc7942_2451,locus_tag:Gene Name
hemE,P16891,1.5,0.0647,0.133, Uroporphyrinogen decarboxylase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=hemE PE=3 SV=2,Synpcc7942_1086,tier1:Gene Name
rplJ,Q31QK5,1.5,0.0923,0.172, 50S ribosomal protein L10 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=rplJ PE=3 SV=1,Synpcc7942_0632,tier1:Gene Name
Synpcc7942_1256,Q31NT3,1.51,0.000242,0.00121, Glutathione S-transferase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1256 PE=3 SV=1,Synpcc7942_1256,locus_tag:Gene Name
thf1,Q31MY4,1.51,6.65e-05,0.000433, Protein Thf1 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=thf1 PE=3 SV=2,,unresolved
Synpcc7942_1738,Q31MF1,1.53,0.000315,0.00143, Cysteine desulfurase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1738 PE=3 SV=1,Synpcc7942_1738,locus_tag:Gene Name
Synpcc7942_1453,Q31N86,1.55,9.36e-07,1.66e-05," Two component transcriptional regulator, winged helix family OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1453 PE=4 SV=1",Synpcc7942_1453,locus_tag:Gene Name
Synpcc7942_0604,Q31QN3,1.56,0.0158,0.0397, Ribulose-phosphate 3-epimerase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0604 PE=3 SV=1,Synpcc7942_0604,locus_tag:Gene Name
Synpcc7942_1390,P32084,1.58,0.000622,0.00255, Uncharacterized HIT-like protein Synpcc7942_1390 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1390 PE=4 SV=1,Synpcc7942_1390,locus_tag:Gene Name
Synpcc7942_0327,Q31RG0,1.59,3.82e-06,4.82e-05, Allophycocyanin alpha chain OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0327 PE=1 SV=1,Synpcc7942_0327,locus_tag:Gene Name
Synpcc7942_0326,Q31RG1,1.65,2.86e-06,4.16e-05," Allophycocyanin, beta subunit OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0326 PE=1 SV=1",Synpcc7942_0326,locus_tag:Gene Name
Synpcc7942_1659,Q31MN0,1.72,0.0016,0.00545, Nitroreductase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1659 PE=4 SV=1,Synpcc7942_1659,locus_tag:Gene Name
hemC,Q31PM2,1.73,0.000259,0.00126, Porphobilinogen deaminase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=hemC PE=3 SV=1,Synpcc7942_0967,tier1:Gene Name
Synpcc7942_1734,Q31MF5,1.73,0.000888,0.0034," Ferredoxin-thioredoxin reductase, catalytic chain OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1734 PE=3 SV=1",Synpcc7942_1734,locus_tag:Gene Name
Synpcc7942_0325,Q31RG2,1.78,0.00395,0.012," Phycobilisome 7.8 kDa linker polypeptide, allophycocyanin-associated, core OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0325 PE=3 SV=1",Synpcc7942_0325,locus_tag:Gene Name
Synpcc7942_1781,Q31MA8,1.79,2.5e-06,3.73e-05, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1781 PE=4 SV=1,Synpcc7942_1781,locus_tag:Gene Name
Synpcc7942_2450,Q31KD9,1.79,0.00223,0.00729, General secretion pathway protein D OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_2450 PE=3 SV=1,Synpcc7942_2450,locus_tag:Gene Name
trxA,P12243,1.79,9.79e-05,0.000572, Thioredoxin 1 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=trxA PE=3 SV=2,,ambiguous
cpcA1,P13530,1.8,1.31e-09,1.06e-07, C-phycocyanin alpha chain OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=cpcA1 PE=1 SV=2;sp|P00308|PHCA1_SYNP6 C-phycocyanin-1 alpha chain OS=Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) OX=269084 GN=cpcA1 PE,Synpcc7942_1053,tier1:Gene Name
tal,Q31KU2,1.8,3.6e-05,0.000296, Transaldolase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=tal PE=3 SV=1,Synpcc7942_2297,tier1:Gene Name
Synpcc7942_1885,Q31M04,1.81,1.95e-06,3.07e-05," HAD-superfamily hydrolase subfamily IA, variant 3 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1885 PE=4 SV=1",Synpcc7942_1885,locus_tag:Gene Name
Synpcc7942_2121,Q31LB8,1.82,0.00402,0.0121, Anti-sigma factor antagonist OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_2121 PE=3 SV=1,Synpcc7942_2121,locus_tag:Gene Name
Synpcc7942_2452,Q31KD7,1.82,2.31e-06,3.53e-05, Tfp pilus assembly protein PilN-like OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_2452 PE=4 SV=1,Synpcc7942_2452,locus_tag:Gene Name
hpf,Q31KN7,1.88,1.25e-05,0.000129, Ribosome hibernation promoting factor OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=hpf PE=3 SV=1,Synpcc7942_2352,tier1:Gene Name
atpH,Q31RF2,1.89,4.31e-05,0.00033, ATP synthase subunit delta OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=atpH PE=3 SV=1,Synpcc7942_0335,tier1:Gene Name
irpA,P12608,1.9,2.36e-05,0.000209, Iron-regulated protein A OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=irpA PE=2 SV=1,,unresolved
Synpcc7942_1050,Q31PD9,1.9,1.44e-08,6.79e-07, Phycobilisome rod linker polypeptide OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1050 PE=3 SV=1;tr|Q44113|Q44113_SYNP6 33 kD rod-rod linker OS=Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) OX=2,Synpcc7942_1050,locus_tag:Gene Name
ndk,P50590,2.03,0.000299,0.0014, Nucleoside diphosphate kinase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=ndk PE=3 SV=2,Synpcc7942_2497,multi:Gene Name
Synpcc7942_2180,Q31L59,2.04,1.52e-07,4.32e-06, Bacterioferritin comigratory protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_2180 PE=4 SV=1,Synpcc7942_2180,locus_tag:Gene Name
Synpcc7942_1942,Q31LU7,2.08,1.22e-05,0.000129, Bacterioferritin comigratory protein-like OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1942 PE=4 SV=1,Synpcc7942_1942,locus_tag:Gene Name
Synpcc7942_0700,Q31QD7,2.19,0.0106,0.0272, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0700 PE=4 SV=1,Synpcc7942_0700,locus_tag:Gene Name
frr,Q31QY0,2.34,4.93e-07,1.08e-05, Ribosome-recycling factor OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=frr PE=3 SV=1,Synpcc7942_0507,multi:Gene Name
tr|Q31KE0|Q31KE0_SYNE7 1-Cys,Q31KE0,2.36,2.88e-08,1.25e-06, 1-Cys peroxiredoxin OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_2449 PE=4 SV=1,Synpcc7942_2449,multi:Protein ID
Synpcc7942_0259,Q31RM8,2.4,2.37e-07,6.1e-06, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0259 PE=4 SV=1,Synpcc7942_0259,locus_tag:Gene Name
Synpcc7942_1793,Q31M96,2.54,1.72e-09,1.08e-07, Thioredoxin OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1793 PE=3 SV=1,Synpcc7942_1793,locus_tag:Gene Name
atpG.1,Q31RF4,2.67,0.00489,0.0141, ATP synthase subunit b OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=atpG PE=3 SV=1,,unresolved
Synpcc7942_0843,Q31PZ5,2.67,7.51e-07,1.47e-05, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0843 PE=4 SV=1,Synpcc7942_0843,locus_tag:Gene Name
Synpcc7942_1858,Q9Z3G6,2.68,3.76e-05,0.000304, Heme oxygenase (Decyclizing) OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1858 PE=4 SV=1,Synpcc7942_1858,locus_tag:Gene Name
Synpcc7942_1607,Q9KHA8,2.73,9.62e-09,4.96e-07, Probable porin major outer membrane protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1607 PE=3 SV=1,Synpcc7942_1607,locus_tag:Gene Name
Synpcc7942_2248,Q31KZ1,2.73,0.00111,0.00406, Bacterial nucleoid protein Hbs OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_2248 PE=3 SV=1,Synpcc7942_2248,locus_tag:Gene Name
Synpcc7942_1606,Q31MT3,2.78,4.28e-08,1.62e-06, Beta-Ig-H3/fasciclin OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1606 PE=4 SV=1,Synpcc7942_1606,locus_tag:Gene Name
psbV,Q31LM9,3.01,1.96e-09,1.11e-07, Cytochrome c-550 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=psbV PE=3 SV=2,Synpcc7942_2010,tier1:Gene Name
Synpcc7942_0464,Q8GMT0,3.08,3.27e-06,4.36e-05, Nucleoid-associated protein Synpcc7942_0464 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0464 PE=3 SV=2,Synpcc7942_0464,locus_tag:Gene Name
adk,Q31L26,3.19,1.22e-10,1.39e-08, Adenylate kinase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=adk PE=3 SV=1,Synpcc7942_2213,multi:Gene Name
Synpcc7942_0679,Q31QF8,3.34,4.22e-05,0.00033, RNA-binding region RNP-1 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0679 PE=4 SV=1,Synpcc7942_0679,locus_tag:Gene Name
Synpcc7942_1409,Q31ND0,3.79,1.72e-09,1.08e-07, Iron transport system substrate-binding protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1409 PE=4 SV=1,Synpcc7942_1409,locus_tag:Gene Name
psaE,Q31NL7,3.87,1.34e-05,0.000136, Photosystem I reaction center subunit IV OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=psaE PE=3 SV=1,Synpcc7942_1322,tier1:Gene Name
psbU,Q31M07,3.98,4.03e-06,4.95e-05, Photosystem II 12 kDa extrinsic protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=psbU PE=3 SV=1,Synpcc7942_1882,tier1:Gene Name
Synpcc7942_1999,Q31LP0,4.05,1.58e-05,0.000151, RNA-binding region RNP-1 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1999 PE=4 SV=1,Synpcc7942_1999,locus_tag:Gene Name
isiB,P10340,4.47,4.77e-13,9.02e-11, Flavodoxin OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=isiB PE=1 SV=3,Synpcc7942_1541,tier1:Gene Name
cpcD,Q44114,4.58,2.49e-13,7.06e-11, Phycocyanin linker protein 9K OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942,Synpcc7942_1051,multi:Gene Name
isiA,P15347,5.7,2.19e-12,3.11e-10, Iron stress-induced chlorophyll-binding protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=isiA PE=1 SV=3,Synpcc7942_1542,tier1:Gene Name
idiA,Q5N0R0,5.96,3.87e-15,2.19e-12, Iron deficiency-induced protein A OS=Synechococcus elongatus (strain PCC 7942) OX=1140,,unresolved
