gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term,go_component,go_function,go_process,old_locus_tags
BSR22_RS00515,,BSR22_RS00515,BSR22_00515,Protein Homology,72328,73269,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807131.1,DMT family transporter,WP_077142347.1,"GO:0055085,GO:0022857,GO:0016020",membrane|0016020||IEA,transmembrane transporter activity|0022857||IEA,transmembrane transport|0055085||IEA,BSR22_00515
sppA,sppA,BSR22_RS00520,BSR22_00520,Protein Homology,73321,74130,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807939.1,signal peptide peptidase SppA,WP_077142346.1,"GO:0006465,GO:0004252",,serine-type endopeptidase activity|0004252||IEA,signal peptide processing|0006465||IEA,BSR22_00520
aroH,aroH,BSR22_RS00525,BSR22_00525,Protein Homology,74137,74520,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012008060.1,chorismate mutase,WP_083703270.1,"GO:0009073,GO:0004106",,chorismate mutase activity|0004106||IEA,aromatic amino acid family biosynthetic process|0009073||IEA,BSR22_00525
BSR22_RS00530,,BSR22_RS00530,BSR22_00530,Protein Homology,74591,75169,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863316.1,DUF2808 domain-containing protein,WP_077142345.1,,,,,BSR22_00530
rpmH,rpmH,BSR22_RS00535,BSR22_00535,Protein Homology,75200,75337,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011128745.1,50S ribosomal protein L34,WP_002808184.1,"GO:0006412,GO:0003735,GO:0000315,GO:0022625","organellar large ribosomal subunit|0000315||IEA,cytosolic large ribosomal subunit|0022625||IEA",structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,BSR22_00535
BSR22_RS00540,,BSR22_RS00540,BSR22_00540,Protein Homology,75350,75736,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863317.1,ribonuclease P protein component,WP_077142344.1,"GO:0008033,GO:0000049,GO:0004526",,"tRNA binding|0000049||IEA,ribonuclease P activity|0004526||IEA",tRNA processing|0008033||IEA,BSR22_00540
BSR22_RS00545,,BSR22_RS00545,BSR22_00545,Protein Homology,75733,76146,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012008062.1,PH domain-containing protein,WP_025938576.1,,,,,BSR22_00545
yidC,yidC,BSR22_RS00550,BSR22_00550,Protein Homology,76219,77361,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011132820.1,membrane protein insertase YidC,WP_077142343.1,,,,,BSR22_00550
BSR22_RS00555,,BSR22_RS00555,BSR22_00555,Protein Homology,77377,78843,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863320.1,AAA family ATPase,WP_077142342.1,"GO:0005524,GO:0016887",,"ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA",,BSR22_00555
serS,serS,BSR22_RS00560,BSR22_00560,Protein Homology,78966,80243,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012008065.1,serine--tRNA ligase,WP_077142341.1,"GO:0006434,GO:0000166,GO:0004828,GO:0005524",,"nucleotide binding|0000166||IEA,serine-tRNA ligase activity|0004828||IEA,ATP binding|0005524||IEA",seryl-tRNA aminoacylation|0006434||IEA,BSR22_00560
rseP,rseP,BSR22_RS00565,BSR22_00565,Protein Homology,80253,81332,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863322.1,RIP metalloprotease RseP,WP_077142340.1,"GO:0006508,GO:0004222,GO:0016020",membrane|0016020||IEA,metalloendopeptidase activity|0004222||IEA,proteolysis|0006508||IEA,BSR22_00565
rpsN,rpsN,BSR22_RS00570,BSR22_00570,Protein Homology,81397,81699,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011824226.1,30S ribosomal protein S14,WP_025894796.1,"GO:0006412,GO:0003735,GO:0005840",ribosome|0005840||IEA,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,BSR22_00570
BSR22_RS00575,,BSR22_RS00575,BSR22_00575,Protein Homology,81869,84034,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011825274.1,polyribonucleotide nucleotidyltransferase,WP_077142339.1,"GO:0006396,GO:0006402,GO:0003723,GO:0004654",,"RNA binding|0003723||IEA,polyribonucleotide nucleotidyltransferase activity|0004654||IEA","RNA processing|0006396||IEA,mRNA catabolic process|0006402||IEA",BSR22_00575
BSR22_RS00580,,BSR22_RS00580,BSR22_00580,Protein Homology,84038,84940,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818806.1,3'(2')%2C5'-bisphosphate nucleotidase CysQ,WP_077142338.1,"GO:0006790,GO:0000287,GO:0008441",,"magnesium ion binding|0000287||IEA,3'(2')%2C5'-bisphosphate nucleotidase activity|0008441||IEA",sulfur compound metabolic process|0006790||IEA,BSR22_00580
rsmI,rsmI,BSR22_RS00585,BSR22_00585,Protein Homology,84944,85807,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012008070.1,16S rRNA (cytidine(1402)-2'-O)-methyltransferase,WP_077142337.1,"GO:0000451,GO:0008649,GO:0008757",,"rRNA methyltransferase activity|0008649||IEA,S-adenosylmethionine-dependent methyltransferase activity|0008757||IEA",rRNA 2'-O-methylation|0000451||IEA,BSR22_00585
BSR22_RS00590,,BSR22_RS00590,BSR22_00590,Protein Homology,85833,86051,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012008071.1,hypothetical protein,WP_077142336.1,,,,,BSR22_00590
BSR22_RS00595,,BSR22_RS00595,BSR22_00595,Protein Homology,86059,86742,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806735.1,hypothetical protein,WP_077142335.1,,,,,BSR22_00595
BSR22_RS00605,,BSR22_RS00605,BSR22_00605,GeneMarkS-2+,86967,88124,-,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_077142334.1,,,,,BSR22_00605
BSR22_RS00610,,BSR22_RS00610,BSR22_00610,Protein Homology,88236,89633,+,,,COORDINATES: protein motif:HMM:NF012744.6,glycosyltransferase,WP_077142333.1,GO:0016757,,glycosyltransferase activity|0016757||IEA,,BSR22_00610
BSR22_RS00615,,BSR22_RS00615,BSR22_00615,Protein Homology,89704,91527,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011294043.1,ATP-binding cassette domain-containing protein,WP_077142332.1,GO:0005524,,ATP binding|0005524||IEA,,BSR22_00615
BSR22_RS00620,,BSR22_RS00620,BSR22_00620,Protein Homology,91814,92869,+,,,COORDINATES: protein motif:HMM:NF016800.6,O-antigen ligase family protein,WP_198025636.1,"GO:0009103,GO:0008754,GO:0008755,GO:0005886",plasma membrane|0005886||IEA,"O-antigen ligase activity|0008754||IEA,O antigen polymerase activity|0008755||IEA",lipopolysaccharide biosynthetic process|0009103||IEA,BSR22_00620
BSR22_RS00625,,BSR22_RS00625,BSR22_00625,Protein Homology,92871,95255,+,,,COORDINATES: protein motif:HMM:NF024629.6,glycosyltransferase family 39 protein,WP_077142331.1,,,,,BSR22_00625
BSR22_RS00630,,BSR22_RS00630,BSR22_00630,Protein Homology,95310,96473,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_019474453.1,glycosyltransferase,WP_077142330.1,GO:0016757,,glycosyltransferase activity|0016757||IEA,,BSR22_00630
BSR22_RS00635,,BSR22_RS00635,BSR22_00635,Protein Homology,96553,97173,+,,,COORDINATES: protein motif:HMM:NF014453.6,sugar transferase,WP_077142329.1,"GO:0000271,GO:0016780,GO:0005886",plasma membrane|0005886||IEA,phosphotransferase activity%2C for other substituted phosphate groups|0016780||IEA,polysaccharide biosynthetic process|0000271||IEA,BSR22_00635
BSR22_RS00640,,BSR22_RS00640,BSR22_00640,Protein Homology,97376,98815,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_006851626.1,nucleotide sugar dehydrogenase,WP_077142328.1,"GO:0000271,GO:0016616,GO:0051287",,"oxidoreductase activity%2C acting on the CH-OH group of donors%2C NAD or NADP as acceptor|0016616||IEA,NAD binding|0051287||IEA",polysaccharide biosynthetic process|0000271||IEA,BSR22_00640
gmd,gmd,BSR22_RS00645,BSR22_00645,Protein Homology,99009,100121,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863376.1,GDP-mannose 4%2C6-dehydratase,WP_077142327.1,"GO:0000271,GO:0019673,GO:0008446",,GDP-mannose 4%2C6-dehydratase activity|0008446||IEA,"polysaccharide biosynthetic process|0000271||IEA,GDP-mannose metabolic process|0019673||IEA",BSR22_00645
BSR22_RS00650,,BSR22_RS00650,BSR22_00650,Protein Homology,100137,101108,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_006853824.1,GDP-L-fucose synthase family protein,WP_077142326.1,GO:0016491,,oxidoreductase activity|0016491||IEA,,BSR22_00650
BSR22_RS00655,,BSR22_RS00655,BSR22_00655,Protein Homology,101120,102547,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_006853856.1,mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase,WP_077142325.1,"GO:0000271,GO:0016779",,nucleotidyltransferase activity|0016779||IEA,polysaccharide biosynthetic process|0000271||IEA,BSR22_00655
BSR22_RS00660,,BSR22_RS00660,BSR22_00660,Protein Homology,102583,103593,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_019474466.1,NAD-dependent epimerase/dehydratase family protein,WP_077142324.1,GO:0003824,,catalytic activity|0003824||IEA,,BSR22_00660
galE,galE,BSR22_RS00665,BSR22_00665,Protein Homology,103761,104801,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012195835.1,UDP-glucose 4-epimerase GalE,WP_077142323.1,"GO:0006012,GO:0003978",,UDP-glucose 4-epimerase activity|0003978||IEA,galactose metabolic process|0006012||IEA,BSR22_00665
BSR22_RS00670,,BSR22_RS00670,BSR22_00670,Protein Homology,105053,106987,-,,,COORDINATES: protein motif:HMM:NF014732.6,GumC family protein,WP_077142322.1,GO:0000271,,,polysaccharide biosynthetic process|0000271||IEA,BSR22_00670
BSR22_RS00675,,BSR22_RS00675,BSR22_00675,Protein Homology,106992,108092,-,,,COORDINATES: protein motif:HMM:NF014606.6,SLBB domain-containing protein,WP_156858208.1,,,,,BSR22_00675
BSR22_RS00680,,BSR22_RS00680,BSR22_00680,Protein Homology,108207,109583,-,,,COORDINATES: protein motif:HMM:NF014453.6,sugar transferase,WP_083703268.1,,,,,BSR22_00680
BSR22_RS00685,,BSR22_RS00685,BSR22_00685,Protein Homology,109676,110812,-,,,COORDINATES: protein motif:HMM:NF024831.6,glycosyltransferase family 4 protein,WP_077142320.1,"GO:0006486,GO:0016757",,glycosyltransferase activity|0016757||IEA,protein glycosylation|0006486||IEA,BSR22_00685
BSR22_RS00690,,BSR22_RS00690,BSR22_00690,GeneMarkS-2+,110878,111621,-,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_077142319.1,,,,,BSR22_00690
BSR22_RS00695,,BSR22_RS00695,BSR22_00695,GeneMarkS-2+,111614,112543,-,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_156858207.1,,,,,BSR22_00695
BSR22_RS00700,,BSR22_RS00700,BSR22_00700,GeneMarkS-2+,112754,113941,-,,,COORDINATES: ab initio prediction:GeneMarkS-2+,glycosyltransferase family 2 protein,WP_156858206.1,GO:0016757,,glycosyltransferase activity|0016757||IEA,,BSR22_00700
BSR22_RS00705,,BSR22_RS00705,BSR22_00705,Protein Homology,114301,115218,+,,,COORDINATES: protein motif:HMM:NF017532.6,phytanoyl-CoA dioxygenase family protein,WP_077143820.1,"GO:0046872,GO:0051213",,"metal ion binding|0046872||IEA,dioxygenase activity|0051213||IEA",,BSR22_00705
BSR22_RS00710,,BSR22_RS00710,BSR22_00710,Protein Homology,115295,117052,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_019480123.1,FAD-dependent oxidoreductase,WP_156858205.1,GO:0016491,,oxidoreductase activity|0016491||IEA,,BSR22_00710
BSR22_RS00715,,BSR22_RS00715,BSR22_00715,Protein Homology,117257,118687,-,,,COORDINATES: protein motif:HMM:NF016357.6,CDP-glycerol glycerophosphotransferase family protein,WP_077142315.1,"GO:0047355,GO:0016020",membrane|0016020||IEA,CDP-glycerol glycerophosphotransferase activity|0047355||IEA,,BSR22_00715
BSR22_RS00720,,BSR22_RS00720,BSR22_00720,Protein Homology,118725,120392,-,,,COORDINATES: protein motif:HMM:NF012869.6,ABC transporter ATP-binding protein,WP_198025637.1,"GO:0005524,GO:0016887,GO:0042626,GO:0140359,GO:0055052",ATP-binding cassette (ABC) transporter complex%2C substrate-binding subunit-containing|0055052||IEA,"ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA,ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA",,BSR22_00720
BSR22_RS00725,,BSR22_RS00725,BSR22_00725,Protein Homology,120502,121212,-,,,COORDINATES: protein motif:HMM:NF017532.6,phytanoyl-CoA dioxygenase family protein,WP_077142313.1,,,,,BSR22_00725
BSR22_RS00730,,BSR22_RS00730,BSR22_00730,Protein Homology,121402,122109,-,,,COORDINATES: protein motif:HMM:NF014409.6,acylneuraminate cytidylyltransferase family protein,WP_077142312.1,GO:0016779,,nucleotidyltransferase activity|0016779||IEA,,BSR22_00730
BSR22_RS00735,,BSR22_RS00735,BSR22_00735,Protein Homology,122148,123104,-,,,COORDINATES: protein motif:HMM:NF012904.6,dihydrodipicolinate synthase family protein,WP_077142311.1,"GO:0009436,GO:0071704,GO:0016829",,lyase activity|0016829||IEA,"glyoxylate catabolic process|0009436||IEA,obsolete organic substance metabolic process|0071704||IEA",BSR22_00735
BSR22_RS00740,,BSR22_RS00740,BSR22_00740,Protein Homology,123094,124119,-,,,COORDINATES: protein motif:HMM:NF027681.6,GDP-mannose 4%2C6-dehydratase,WP_077142310.1,,,,,BSR22_00740
BSR22_RS00745,,BSR22_RS00745,BSR22_00745,Protein Homology,124112,125938,-,,,COORDINATES: protein motif:HMM:NF015087.6,N-acetylneuraminate synthase family protein,WP_077142309.1,GO:0016051,,,carbohydrate biosynthetic process|0016051||IEA,BSR22_00745
BSR22_RS00750,,BSR22_RS00750,BSR22_00750,GeneMarkS-2+,126282,126809,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_198025638.1,,,,,BSR22_00750
BSR22_RS00755,,BSR22_RS00755,BSR22_00755,GeneMarkS-2+,126797,127966,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_198025639.1,,,,,BSR22_00755
BSR22_RS00760,,BSR22_RS00760,BSR22_00760,GeneMarkS-2+,127968,128792,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_077142308.1,,,,,BSR22_00760
BSR22_RS00765,,BSR22_RS00765,BSR22_00765,Protein Homology,128877,129218,+,,,COORDINATES: protein motif:HMM:NF013234.6,cupin,WP_077142307.1,,,,,BSR22_00765
BSR22_RS00770,,BSR22_RS00770,BSR22_00770,GeneMarkS-2+,129224,130798,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,nucleoside-diphosphate-sugar pyrophosphorylase,WP_077142306.1,,,,,BSR22_00770
BSR22_RS00775,,BSR22_RS00775,BSR22_00775,Protein Homology,131118,131936,-,,,COORDINATES: protein motif:HMM:NF019846.6,class I SAM-dependent methyltransferase,WP_077142305.1,"GO:0032259,GO:0008168,GO:0008757,GO:1904047",,"methyltransferase activity|0008168||IEA,S-adenosylmethionine-dependent methyltransferase activity|0008757||IEA,S-adenosyl-L-methionine binding|1904047||IEA",methylation|0032259||IEA,BSR22_00775
BSR22_RS00780,,BSR22_RS00780,BSR22_00780,GeneMarkS-2+,132275,133087,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_077142304.1,,,,,BSR22_00780
BSR22_RS00785,,BSR22_RS00785,BSR22_00785,Protein Homology,133304,134434,+,,,COORDINATES: protein motif:HMM:NF024880.6,methyltransferase domain-containing protein,WP_077142303.1,,,,,BSR22_00785
BSR22_RS00795,,BSR22_RS00795,BSR22_00795,GeneMarkS-2+,134961,136784,-,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_077142302.1,,,,,BSR22_00795
lexA,lexA,BSR22_RS00800,BSR22_00800,Protein Homology,136900,137514,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_019474124.1,transcriptional repressor LexA,WP_077142301.1,"GO:0009432,GO:0045892,GO:0004252",,serine-type endopeptidase activity|0004252||IEA,"SOS response|0009432||IEA,negative regulation of DNA-templated transcription|0045892||IEA",BSR22_00800
argF,argF,BSR22_RS00805,BSR22_00805,Protein Homology,137577,138503,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376903.1,ornithine carbamoyltransferase,WP_077142300.1,"GO:0042450,GO:0004585",,ornithine carbamoyltransferase activity|0004585||IEA,arginine biosynthetic process via ornithine|0042450||IEA,BSR22_00805
ftsH,ftsH,BSR22_RS00810,BSR22_00810,Protein Homology,138532,140394,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002808237.1,ATP-dependent zinc metalloprotease FtsH,WP_077142299.1,"GO:0006508,GO:0051301,GO:0004222,GO:0016887,GO:0016020",membrane|0016020||IEA,"metalloendopeptidase activity|0004222||IEA,ATP hydrolysis activity|0016887||IEA","proteolysis|0006508||IEA,cell division|0051301||IEA",BSR22_00810
ribD,ribD,BSR22_RS00815,BSR22_00815,Protein Homology,140511,141605,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818884.1,bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD,WP_077142298.1,"GO:0008703,GO:0008835",,"5-amino-6-(5-phosphoribosylamino)uracil reductase activity|0008703||IEA,diaminohydroxyphosphoribosylaminopyrimidine deaminase activity|0008835||IEA",,BSR22_00815
BSR22_RS00820,,BSR22_RS00820,BSR22_00820,Protein Homology,141621,142121,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818885.1,DUF3122 domain-containing protein,WP_077142297.1,,,,,BSR22_00820
BSR22_RS00825,,BSR22_RS00825,BSR22_00825,Protein Homology,142096,142347,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011820732.1,hypothetical protein,WP_077142685.1,,,,,BSR22_00825
cbiE,cbiE,BSR22_RS00830,BSR22_00830,Protein Homology,142431,143711,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011132902.1,precorrin-6y C5%2C15-methyltransferase (decarboxylating) subunit CbiE,WP_077142296.1,"GO:0009236,GO:0046140,GO:0046025",,precorrin-6Y C5%2C15-methyltransferase (decarboxylating) activity|0046025||IEA,"cobalamin biosynthetic process|0009236||IEA,corrin biosynthetic process|0046140||IEA",BSR22_00830
BSR22_RS00835,,BSR22_RS00835,BSR22_00835,Protein Homology,143719,144627,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011132903.1,NAD(+) kinase,WP_077142295.1,,,,,BSR22_00835
pheS,pheS,BSR22_RS00840,BSR22_00840,Protein Homology,144699,145706,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011820735.1,phenylalanine--tRNA ligase subunit alpha,WP_077142294.1,"GO:0006432,GO:0000166,GO:0004826,GO:0005524,GO:0005737",cytoplasm|0005737||IEA,"nucleotide binding|0000166||IEA,phenylalanine-tRNA ligase activity|0004826||IEA,ATP binding|0005524||IEA",phenylalanyl-tRNA aminoacylation|0006432||IEA,BSR22_00840
surE,surE,BSR22_RS00845,BSR22_00845,Protein Homology,145775,146584,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011820736.1,5'/3'-nucleotidase SurE,WP_077142293.1,GO:0008252,,nucleotidase activity|0008252||IEA,,BSR22_00845
BSR22_RS00850,,BSR22_RS00850,BSR22_00850,Protein Homology,146564,147097,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376912.1,DUF3611 family protein,WP_077142292.1,,,,,BSR22_00850
BSR22_RS00855,,BSR22_RS00855,BSR22_00855,Protein Homology,147166,148089,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807834.1,bifunctional riboflavin kinase/FAD synthetase,WP_077142291.1,GO:0003919,,FMN adenylyltransferase activity|0003919||IEA,,BSR22_00855
BSR22_RS00860,,BSR22_RS00860,BSR22_00860,Protein Homology,148097,149152,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818893.1,thiamine phosphate synthase,WP_077142290.1,,,,,BSR22_00860
thiS,thiS,BSR22_RS00865,BSR22_00865,Protein Homology,149142,149351,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376915.1,sulfur carrier protein ThiS,WP_077142289.1,"GO:0009228,GO:0003824",,catalytic activity|0003824||IEA,thiamine biosynthetic process|0009228||IEA,BSR22_00865
BSR22_RS09375,,BSR22_RS09375,BSR22_RS09375,Protein Homology,149464,149631,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863393.1,hypothetical protein,WP_011863393.1,,,,,
BSR22_RS09715,,BSR22_RS09715,BSR22_RS09715,Protein Homology,149699,149830,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805147.1,hypothetical protein,WP_257787464.1,,,,,
larB,larB,BSR22_RS00870,BSR22_00870,Protein Homology,149835,150491,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012008163.1,nickel pincer cofactor biosynthesis protein LarB,WP_077142288.1,GO:0016787,,hydrolase activity|0016787||IEA,,BSR22_00870
BSR22_RS00875,,BSR22_RS00875,BSR22_00875,Protein Homology,150488,150934,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012008164.1,TIGR03792 family protein,WP_077142287.1,,,,,BSR22_00875
trmD,trmD,BSR22_RS00880,BSR22_00880,Protein Homology,150931,152151,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863396.1,tRNA (guanosine(37)-N1)-methyltransferase TrmD,WP_077142286.1,"GO:0008033,GO:0052906",,tRNA (guanine(37)-N1)-methyltransferase activity|0052906||IEA,tRNA processing|0008033||IEA,BSR22_00880
era,era,BSR22_RS00885,BSR22_00885,Protein Homology,152152,153063,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012008169.1,GTPase Era,WP_077142684.1,"GO:0003723,GO:0005525",,"RNA binding|0003723||IEA,GTP binding|0005525||IEA",,BSR22_00885
BSR22_RS00890,,BSR22_RS00890,BSR22_00890,Protein Homology,153101,153628,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012008170.1,hypothetical protein,WP_077142285.1,,,,,BSR22_00890
BSR22_RS00895,,BSR22_RS00895,BSR22_00895,Protein Homology,153680,154417,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_019478226.1,Bax inhibitor-1/YccA family protein,WP_011818901.1,GO:0016020,membrane|0016020||IEA,,,BSR22_00895
