Synonym,Product,Expression 9313 t=20 + 0.01,Expression t=20 9313+1A3 + 0.01,q Value,log 2 fold change coculture/axenic,
PMT1354,NAD(P)H-quinone oxidoreductase subunit 2,217.01,162.01,0.398377248,-0.421678659,
PMT1966,uroporphyrinogen III synthase,63.01,47.01,0.256152209,-0.422613129,
PMT2199,pyridoxamine 5'-phosphate oxidase,63.01,47.01,0.215977973,-0.422613129,
PMT1160,sodium-dependent transporter,59.01,44.01,0.304711304,-0.423128087,
PMT1620,thymidylate synthase,51.01,38.01,0.183867826,-0.424401076,
PMT1433,hypothetical protein,47.01,35.01,0.2390437,-0.425200619,
PMT1587,hypothetical protein,43.01,32.01,0.252810166,-0.426149454,
PMT1739,50S ribosomal protein L16,1480.01,1101.01,0.443186605,-0.426779351,
PMT1331,hypothetical protein,78.01,58.01,0.312442551,-0.427357454,
PMT0709,N-acetyl-gamma-glutamyl-phosphate reductase,74.01,55.01,0.305006877,-0.428026313,
PMT1199,carboxysome structural protein CsoS1,179.01,133.01,0.218934669,-0.428505468,
PMT1080,multidrug ABC transporter,35.01,26.01,0.287394476,-0.428700662,
PMT0175,Fe-S oxidoreductase,70.01,52.01,0.23019338,-0.428771969,
PMT0113,"dTDP-4-dehydrorhamnose 3,5-epimerase",85.01,63.01,0.267054819,-0.43205175,
PMT0516,hypothetical protein,54.01,40.01,0.281310411,-0.43286592,
PMT0679,pyruvate kinase,100.01,74.01,0.155997498,-0.434352141,
PMT0439,hypothetical protein,169.01,125.01,0.306415981,-0.435065105,
PMT1745,30S ribosomal protein S8,1669.01,1234.01,0.440356792,-0.435638513,
PMT1665,photosystem II PsbB protein (CP47),10136.01,7493.01,1,-0.435872571,
PMT0406,"menaquinone biosynthesis 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase",23.01,17.01,0.209748151,-0.435877843,
PMT2144,hypothetical protein,23.01,17.01,0.197376121,-0.435877843,
PMT0433,hypothetical protein,168.01,124.01,0.222687539,-0.438090643,
PMT1441,hypothetical protein,61.01,45.01,0.195776974,-0.438800166,
PMT1308,glutamyl-tRNA synthetase,118.01,87.01,0.150495473,-0.439655993,
PMT1076,lipoyl synthase,38.01,28.01,0.218665102,-0.440437042,
PMT1709,hypothetical protein,38.01,28.01,0.272238456,-0.440437042,
PMT0527,hypothetical protein,95.01,70.01,0.257800415,-0.440518361,
PMT0509,"cytochrome c, class IC:cytochrome c, class I",3345.01,2460.01,0.545984791,-0.443346344,
PMT0602,hypothetical protein,102.01,75.01,0.249620891,-0.443555739,
PMT0446,hypothetical protein,196.01,144.01,0.18614377,-0.444758264,
PMT0350,30S ribosomal protein S16,294.01,216.01,0.236581181,-0.444767123,
PMT1668,30S ribosomal protein S1,428.01,314.01,0.474065982,-0.446834,
PMT1066,Orn/Lys/Arg decarboxylase family protein,15.01,11.01,1,-0.447109508,
PMT1730,hypothetical protein,15.01,11.01,1,-0.447109508,
PMT0105,hypothetical protein,30.01,22.01,0.238075922,-0.447284174,
PMT0769,hypothetical protein,120.01,88.01,0.304711304,-0.447415263,
PMT0209,group 1 glycosyl transferase,41.01,30.01,0.237602994,-0.450532425,
PMT0979,hypothetical protein,108.01,79.01,0.201706828,-0.451057723,
PMT0564,6-phosphogluconolactonase,63.01,46.01,0.258199862,-0.453633353,
PMT0440,hypothetical protein,174.01,127.01,0.326442313,-0.454228127,
PMT0438,hypothetical protein,37.01,27.01,0.154080121,-0.454421496,
PMT1309,CPA1 family Na+/H+ antiporter,37.01,27.01,0.24789846,-0.454421496,
PMT1990,thymidylate kinase,37.01,27.01,0.183538411,-0.454421496,
PMT0380,"SOS function regulatory protein, LexA repressor",111.01,81.01,0.338823911,-0.454517731,
PMT1729,ATPase AAA,48.01,35.01,0.310134805,-0.455567874,
PMT2012,sugar-phosphate nucleotidyl transferase,96.01,70.01,0.244405376,-0.455623672,
PMT1805,hypothetical protein,202.01,147.01,0.344826269,-0.458512418,
PMT1423,hypothetical protein,11.01,8.01,1,-0.458940321,
PMT1435,hypothetical protein,11.01,8.01,1,-0.458940321,
PMT1897,cytochrome b559 subunit beta,13821.01,10055.01,0.403265807,-0.458948531,
PMT1432,hypothetical protein,146.01,106.01,0.339203242,-0.461866819,
PMT1758,50S ribosomal protein L13,1224.01,888.01,0.455969945,-0.462967517,
PMT1254,Signal peptidase I,47.01,34.01,0.220670816,-0.467008674,
PMT2259,30S ribosomal protein S6,1289.01,932.01,0.478098956,-0.467846117,
PMT1803,hypothetical protein,220.01,159.01,0.292201808,-0.468451601,
PMT1179,photosystem II PsbD protein (D2),20921.01,15120.01,0.824534814,-0.468493408,
PMT1874,hypothetical protein,18.01,13.01,0.240678185,-0.469177219,
PMT2016,inorganic polyphosphate/ATP-NAD kinase,18.01,13.01,0.223590986,-0.469177219,
PMT1756,50S ribosomal protein L17,1509.01,1090.01,0.467633398,-0.469260996,
PMT1951,16S rRNA-processing protein RimM,90.01,65.01,0.285101414,-0.469423638,
PMT1262,carbohydrate kinase,108.01,78.01,0.272634968,-0.469433911,
PMT0043,soluble hydrogenase small subunit,144.01,104.01,0.180352675,-0.469446753,
PMT1231,hypothetical protein,320.01,231.01,0.254464275,-0.470161684,
PMT1997,malonyl CoA-ACP transacylase,115.01,83.01,0.295387417,-0.470402258,
PMT1336,hypothetical protein,97.01,70.01,0.197165447,-0.470572464,
PMT1031,dienelactone hydrolase,43.01,31.01,0.2525167,-0.471938605,
PMT2077,small mechanosensitive ion channel,143.01,103.01,0.190147992,-0.473331633,
PMT0566,glucose-1-phosphate adenylyltransferase,285.01,205.01,0.452575326,-0.475318256,
PMT1183,cobyric acid synthase,32.01,23.01,0.265071719,-0.476261693,
PMT2036,hypothetical protein,32.01,23.01,0.259904332,-0.476261693,
PMT1787,hypothetical protein,188.01,135.01,0.275633163,-0.477743129,
PMT1630,anhydro-N-acetylmuramic acid kinase,39.01,28.01,0.285789275,-0.477902015,
PMT0576,carboxypeptidase,67.01,48.01,0.268849976,-0.481041471,
PMT1889,ABC transporter ATP-binding protein,74.01,53.01,0.318885509,-0.481455676,
PMT1538,hypothetical protein,172.01,123.01,0.182953185,-0.483716837,
PMT0264,hypothetical protein,7.01,5.01,1,-0.484603841,
PMT0133,succinate dehydrogenase/fumarate reductase iron-sulfur subunit,14.01,10.01,1,-0.485014982,
PMT2210,hypothetical protein,35.01,25.01,0.236037786,-0.485262004,
PMT1651,hypothetical protein,63.01,45.01,0.343268606,-0.485335245,
PMT1275,inorganic pyrophosphatase,388.01,277.01,0.25684331,-0.486155777,
PMT1740,50S ribosomal protein L29,2016.01,1438.01,0.479890618,-0.487429087,
PMT1215,light-independent protochlorophyllide reductase subunit N,700.01,499.01,0.466296982,-0.488306805,
PMT1398,GPH family sugar transporter,239.01,170.01,0.4750408,-0.491451372,
PMT1748,30S ribosomal protein S5,1601.01,1138.01,0.547110425,-0.492469084,
PMT0344,tRNA-specific 2-thiouridylase MnmA,69.01,49.01,0.375776145,-0.493729286,
PMT1535,hypothetical protein,69.01,49.01,0.206727666,-0.493729286,
PMT0020,general secretion pathway protein E,100.01,71.01,0.20711824,-0.49405015,
PMT1939,glycolate oxidase subunit GlcE,31.01,22.01,0.271127529,-0.494574381,
PMT1757,tRNA pseudouridine synthase A,124.01,88.01,0.298972101,-0.4947171,
PMT1754,30S ribosomal protein S11,578.01,410.01,0.260818571,-0.495435356,
PMT1431,D-3-phosphoglycerate dehydrogenase,86.01,61.01,0.253302188,-0.495458675,
PMT1178,photosystem I assembly protein Ycf4,258.01,183.01,0.237602994,-0.495504501,
PMT1695,TPR repeat-containing protein,55.01,39.01,0.27166741,-0.495849905,
PMT0642,hypothetical protein,134.01,95.01,0.296021974,-0.496189387,
PMT1751,adenylate kinase,261.01,185.01,0.245059082,-0.496501829,
PMT0851,serine/threonine specific protein phosphatase,24.01,17.01,0.2168741,-0.497252263,
PMT0147,lysyl-tRNA synthetase,65.01,46.01,0.337899023,-0.498714198,
PMT1413,chloroplast outer envelope membrane protein,157.01,111.01,0.494097952,-0.500166804,
PMT1356,response regulator receiver domain-containing protein,75.01,53.01,0.250685149,-0.500818402,
PMT0024,hypothetical protein,17.01,12.01,1,-0.50214699,
PMT0502,Crp family regulatory proteins,17.01,12.01,1,-0.50214699,
PMT2205,hypothetical protein,17.01,12.01,1,-0.50214699,
PMT2233,urease accessory protein UreD,51.01,36.01,0.292278087,-0.502382501,
PMT0129,RND family multidrug efflux transporter,44.01,31.01,0.242600191,-0.505097846,
PMT0639,hypothetical protein,44.01,31.01,0.276921261,-0.505097846,
PMT0260,hypothetical protein,27.01,19.01,0.201885402,-0.506735108,
PMT0572,ABC transporter ATP-binding protein,54.01,38.01,0.2785483,-0.506847523,
PMT2204,hypothetical protein,54.01,38.01,0.345539796,-0.506847523,
PMT0106,N-acetylneuraminate synthase,84.01,59.01,0.392127481,-0.509601609,
PMT2147,hypothetical protein,94.01,66.01,0.398955344,-0.510129629,
PMT0112,glucose-1-phosphate thymidylyltransferase,57.01,40.01,0.316746334,-0.510854373,
PMT1850,cytochrome c oxidase subunit Va,238.01,167.01,0.386977178,-0.511087701,
PMT1914,3-deoxy-manno-octulosonate cytidylyltransferase,67.01,47.01,0.347992549,-0.511408727,
PMT1760,50S ribosomal protein L31,1115.01,782.01,0.462501155,-0.511797688,
PMT0489,hypothetical protein,97.01,68.01,0.294878673,-0.512386579,
PMT1085,UvrD/REP helicase,10.01,7.01,1,-0.513955625,
PMT2098,general (type II) secretion pathway protein D precursor,10.01,7.01,1,-0.513955625,
PMT1495,DnaJ-like protein,60.01,42.01,0.27825404,-0.514470144,
PMT1324,prolipoprotein diacylglyceryl transferase,70.01,49.01,0.399822421,-0.51448486,
PMT0898,hypothetical protein,90.01,63.01,0.282483786,-0.514504482,
PMT0754,thioredoxin peroxidase,1948.01,1362.01,0.615127465,-0.516263788,
PMT0164,6-pyruvoyl-tetrahydropterin synthase,166.01,116.01,0.255071112,-0.517020978,
PMT2049,NAD(P)H-quinone oxidoreductase subunit H,76.01,53.01,0.392680173,-0.519924694,
PMT1948,hypothetical protein,393.01,274.01,0.297414526,-0.520337476,
PMT2148,nucleoside diphosphate kinase,132.01,92.01,0.380954592,-0.520784648,
PMT1310,hypothetical protein,112.01,78.01,0.226751084,-0.52189656,
PMT0120,tRNA delta(2)-isopentenylpyrophosphate transferase,23.01,16.01,0.213212754,-0.523287676,
PMT1768,photosystem I reaction center protein subunit XI,5101.01,3547.01,0.379403967,-0.524179531,
PMT1427,cytochrome c-550,3364.01,2336.01,0.663151774,-0.526135544,
PMT0813,hypothetical protein,13.01,9.01,1,-0.530021951,
PMT1720,hypothetical protein,13.01,9.01,1,-0.530021951,
PMT0468,dihydroorotase,26.01,18.01,0.238436871,-0.530268218,
PMT1680,hypothetical protein,26.01,18.01,0.199640323,-0.530268218,
PMT2261,argininosuccinate synthase,52.01,36.01,0.407014676,-0.530391438,
PMT1759,30S ribosomal protein S9,1111.01,769.01,0.491075107,-0.530797538,
PMT0664,endolysin,214.01,148.01,0.239297558,-0.531983559,
PMT0708,"bifunctional 3,4-dihydroxy-2-butanone 4-phosphate synthase/GTP cyclohydrolase II",68.01,47.01,0.303990821,-0.532779211,
PMT2169,glycine dehydrogenase,68.01,47.01,0.241385688,-0.532779211,
PMT2090,50S ribosomal protein L10,1972.01,1362.01,0.590678838,-0.533929572,
PMT0089,acyltransferase,42.01,29.01,0.369084771,-0.53418249,
PMT1243,cob(I)alamin adenosyltransferase,84.01,58.01,0.378776342,-0.534259448,
PMT2089,50S ribosomal protein L1,765.01,527.01,0.484016323,-0.537648269,
PMT1672,hypothetical protein,106.01,73.01,0.247335596,-0.538034377,
PMT1501,hypothetical protein,93.01,64.01,0.429194203,-0.539088528,
PMT0032,acetyl-CoA biotin carboxyl carrier subunit,141.01,97.01,0.434026946,-0.539592102,
PMT0345,hypothetical protein,16.01,11.01,1,-0.540158839,
PMT1138,hypothetical protein,16.01,11.01,1,-0.540158839,
PMT0086,UDP-glucose-4-epimerase,32.01,22.01,0.25601416,-0.540363532,
PMT0893,amino acid ABC transporter ATP-binding protein,32.01,22.01,0.234046526,-0.540363532,
PMT1904,UDP-glucose 6-dehydrogenase,32.01,22.01,0.317105344,-0.540363532,
PMT1057,UDP pyrophosphate synthase,48.01,33.01,0.321033918,-0.540431797,
PMT1547,delta-aminolevulinic acid dehydratase,131.01,90.01,0.295240734,-0.54151974,
PMT0419,photosystem II PsbA protein (D1),18533.01,12733.01,0.272831495,-0.541523709,
PMT0494,hypothetical protein,35.01,24.01,0.236862188,-0.544131658,
PMT1127,thioredoxin,751.01,515.01,0.336065434,-0.544231672,
PMT1954,photosystem I subunit VII,3724.01,2553.01,0.482093562,-0.544657758,
PMT0646,hypothetical protein,248.01,170.01,0.333499728,-0.544778684,
PMT1399,transporter membrane component,92.01,63.01,0.441217183,-0.546209858,
PMT1728,hypothetical protein,38.01,26.01,0.253167634,-0.547312626,
PMT1532,photosystem II PsbA protein (D1),19483.01,13307.01,0.513903212,-0.550030138,
PMT2020,NADH dehydrogenase subunit H,164.01,112.01,0.243390177,-0.550156243,
PMT1605,ABC transporter ATP-binding protein,145.01,99.01,0.354110277,-0.550506243,
PMT0718,hypothetical protein,63.01,43.01,0.255374636,-0.550908678,
PMT2102,hypothetical protein,63.01,43.01,0.329573593,-0.550908678,
PMT0351,PhoH-like phosphate starvation-inducible protein,85.01,58.01,0.445488186,-0.551330941,
PMT1648,cytochrome b6-f complex subunit IV,874.01,596.01,0.494082314,-0.55231325,
PMT1295,glycolate oxidase subunit glcD,44.01,30.01,0.438307508,-0.552388053,
PMT0894,amino acid ABC transporter,66.01,45.01,0.444118467,-0.552439033,
PMT0738,phenylalanyl-tRNA synthetase subunit beta,47.01,32.01,0.373040991,-0.554445004,
PMT0652,STAS domain-containing protein,119.01,81.01,0.316830613,-0.554910891,
PMT0672,ATP-dependent Clp protease adaptor,72.01,49.01,0.249586003,-0.55512112,
PMT1837,photosystem II reaction center protein H,3199.01,2176.01,0.474065982,-0.555940316,
PMT2103,hypothetical protein,25.01,17.01,0.27386861,-0.556121917,
PMT1962,hypothetical protein,150.01,102.01,0.278778404,-0.556348091,
PMT1844,isopropylmalate isomerase large subunit,53.01,36.01,0.494558869,-0.557866941,
PMT0016,hypothetical protein,168.01,114.01,0.46460175,-0.559386734,
PMT1625,"NADH dehydrogenase, transport associated",121.01,82.01,0.323030578,-0.561254531,
PMT0805,two-component response regulator,31.01,21.01,0.221774054,-0.561657364,
PMT1186,alkyl hydroperoxide reductase/thiol specific antioxidant,127.01,86.01,0.470206347,-0.56236578,
PMT1372,hypothetical protein,309.01,209.01,0.280052736,-0.564081557,
PMT1891,NADH dehydrogenase subunit J,111.01,75.01,0.439775664,-0.565534796,
PMT1899,photosystem II reaction center protein J,5548.01,3742.01,0.637810331,-0.568156974,
PMT0656,hypothetical protein,46.01,31.01,0.363381706,-0.56921393,
PMT0193,sodium/alanine symporter family protein,208.01,140.01,0.418374732,-0.571123014,
PMT0460,hypothetical protein,110.01,74.01,0.438536085,-0.57184255,
PMT1782,elongation factor Tu,1497.01,1007.01,0.485364876,-0.572005849,
PMT0899,sulfate transporter,64.01,43.01,0.443482128,-0.573625177,
PMT0746,hypothetical protein,67.01,45.01,0.280801808,-0.574130842,
PMT0848,NADH dehydrogenase (complex I) subunit,67.01,45.01,0.420209841,-0.574130842,
PMT0418,ABC transporter substrate-binding protein,85.01,57.01,0.477355112,-0.576417559,
PMT1340,hypothetical protein,85.01,57.01,0.489795144,-0.576417559,
PMT1549,hypothetical protein,88.01,59.01,0.371110526,-0.576707999,
PMT0607,anti-sigma regulatory factor,94.01,63.01,0.365074713,-0.577233417,
PMT0009,hypothetical protein,191.01,128.01,0.337376996,-0.577391654,
PMT0840,hypothetical protein,203.01,136.01,0.45510968,-0.577838066,
PMT1996,3-oxoacyl-ACP synthase,112.01,75.01,0.408139542,-0.578472691,
PMT0801,flavodoxin FldA,3.01,2.01,1,-0.582567986,
PMT0921,hypothetical protein,3.01,2.01,1,-0.582567986,
PMT0975,ribosomal protein L36,6.01,4.01,1,-0.583762754,
PMT2015,hypothetical protein,9.01,6.01,1,-0.584162115,
PMT1561,hypothetical protein,12.01,8.01,1,-0.584362003,
PMT1882,hypothetical protein,12.01,8.01,1,-0.584362003,
PMT0816,dihydropteroate synthase,15.01,10.01,1,-0.584482003,
PMT0048,penicillin-binding protein,18.01,12.01,1,-0.58456203,
PMT2042,pseudouridine synthase,18.01,12.01,1,-0.58456203,
PMT1839,glycoside hydrolase family protein,21.01,14.01,0.426250077,-0.584619206,
PMT0068,hypothetical protein,24.01,16.01,0.234197199,-0.584662096,
PMT0597,hypothetical protein,27.01,18.01,0.336443161,-0.584695459,
PMT0595,lipoprotein signal peptidase,33.01,22.01,0.271146595,-0.584743993,
PMT0180,UDP pyrophosphate phosphatase,39.01,26.01,0.312999486,-0.584777599,
PMT0705,hypothetical protein,39.01,26.01,0.285339224,-0.584777599,
PMT2001,poly A polymerase,39.01,26.01,0.364062806,-0.584777599,
PMT1259,prolyl-tRNA synthetase,42.01,28.01,0.501234706,-0.584790802,
PMT1313,PilT2 protein,48.01,32.01,0.433340857,-0.584812259,
PMT1594,high light inducible protein,48.01,32.01,0.302620968,-0.584812259,
PMT0475,N-acetyltransferase GCN5,57.01,38.01,0.26703896,-0.584835976,
PMT0531,3-isopropylmalate dehydrogenase,69.01,46.01,0.494839145,-0.584857977,
PMT1731,NADH dehydrogenase I subunit N,75.01,50.01,0.325155542,-0.584866337,
PMT0427,NAD(P)H-quinone oxidoreductase subunit 4,144.01,96.01,0.31543046,-0.584912411,
PMT0119,translation initiation factor IF-3,465.01,310.01,0.563937053,-0.584946988,
PMT1755,DNA-directed RNA polymerase subunit alpha,1197.01,798.01,0.658210895,-0.584956474,
PMT0895,hypothetical protein,146.01,97.01,0.514269345,-0.589861804,
PMT0263,pilin,616.01,409.01,0.589932901,-0.590817655,
PMT0212,deoxyribose-phosphate aldolase,116.01,77.01,0.522561784,-0.591131469,
PMT1225,hypothetical protein,163.01,108.01,0.296368514,-0.593795582,
PMT0426,homoserine kinase,80.01,53.01,0.533680558,-0.593915785,
PMT0121,DNA gyrase subunit B,65.01,43.01,0.386977178,-0.595989523,
PMT0534,acetyl-CoA carboxylase subunit beta,195.01,129.01,0.308943658,-0.596065208,
PMT1799,ATP-sulfurylase,177.01,117.01,0.301129186,-0.597199034,
PMT1772,bifunctional cbiH protein and precorrin-3B C17-methyltransferase,50.01,33.01,0.489795144,-0.599313466,
PMT0227,30S ribosomal protein S4,1975.01,1303.01,0.68201968,-0.600011802,
PMT1921,hypothetical protein,47.01,31.01,0.361425231,-0.600234155,
PMT1884,pleiotropic regulatory protein,44.01,29.01,0.439803064,-0.601281076,
PMT1453,fructose-6-phosphate aldolase (FSA),123.01,81.01,0.532892487,-0.60260369,
PMT0779,class-I aminotransferase,76.01,50.01,0.519288314,-0.603972629,
PMT1911,polysialic acid capsule expression protein KpsF,70.01,46.01,0.493385375,-0.60561355,
PMT1909,"selenide,water dikinase",32.01,21.01,0.483900346,-0.607446515,
PMT1926,group 1 glycosyl transferase,32.01,21.01,0.391741884,-0.607446515,
PMT2206,hypothetical protein,32.01,21.01,0.295240734,-0.607446515,
PMT1868,orotate phosphoribosyltransferase,93.01,61.01,0.439757677,-0.608340106,
PMT1428,hypothetical protein,154.01,101.01,0.534683766,-0.608525902,
PMT1337,multidrug efflux ABC transporter,170.01,111.01,0.385323857,-0.614929965,
PMT0589,ABC transporter,72.01,47.01,0.504406577,-0.615229586,
PMT1482,rRNA methyltransferase,23.01,15.01,0.25808268,-0.616337007,
PMT0740,30S ribosomal protein S18,1115.01,727.01,0.414438119,-0.617009535,
PMT1317,photosystem I reaction center subunit IX,7890.01,5141.01,0.524452304,-0.61797531,
PMT1135,protoporphyrin IX magnesium chelatase subunit ChlI,324.01,211.01,0.828327321,-0.618726969,
PMT1440,hypothetical protein,43.01,28.01,0.311181036,-0.618730148,
PMT0082,"acetyltransferase, GNAT family",117.01,76.01,0.463663123,-0.622370692,
PMT0224,O-acetylserine (thiol)-lyase A,602.01,391.01,0.495672779,-0.622581947,
PMT0540,hypothetical protein,74.01,48.01,0.267622629,-0.62438528,
PMT1384,hypothetical protein,1229.01,796.01,0.644639053,-0.626638194,
PMT0036,HNH endonuclease:HNH nuclease,17.01,11.01,1,-0.627568672,
PMT0185,sugar aldolase,17.01,11.01,1,-0.627568672,
PMT0706,N-acetylmuramic acid 6-phosphate etherase,17.01,11.01,1,-0.627568672,
PMT1724,arogenate dehydrogenase,17.01,11.01,1,-0.627568672,
PMT0812,2-octaprenyl-6-methoxyphenol 4-monooxygenase,34.01,22.01,0.370110856,-0.627799861,
PMT1980,hypothetical protein,51.01,33.01,0.602417503,-0.627876962,
PMT1820,tRNA (guanine-N(7)-)-methyltransferase,68.01,44.01,0.391154223,-0.62791552,
PMT0524,hypothetical protein,119.01,77.01,0.414851018,-0.627965102,
PMT1292,hypothetical protein,141.01,91.01,0.480675466,-0.631700498,
PMT0442,hypothetical protein,31.01,20.01,0.37231181,-0.632012359,
PMT1206,carboxysome shell protein CsoS1,180.01,116.01,0.478378124,-0.633827884,
PMT1785,SAM-binding motif-containing protein,104.01,67.01,0.552072134,-0.63427393,
PMT1218,protochlorophyllide oxidoreductase,73.01,47.01,0.56368604,-0.635126399,
PMT0980,Outer membrane efflux protein,87.01,56.01,0.428172875,-0.63549679,
PMT1746,50S ribosomal protein L6,1069.01,688.01,0.501347842,-0.635773909,
PMT1750,preprotein translocase subunit SecY,373.01,240.01,0.511093665,-0.636119791,
PMT0584,30S ribosomal protein S2,670.01,431.01,0.512526438,-0.636461286,
PMT0200,nitrogen regulation protein NifR3 family protein,14.01,9.01,1,-0.636857945,
PMT0712,N-acetylmuramoyl-L-alanine amidase,14.01,9.01,1,-0.636857945,
PMT0867,LuxR family regulatory protein,14.01,9.01,1,-0.636857945,
PMT1790,hypothetical protein,14.01,9.01,1,-0.636857945,
PMT1927,group 1 glycosyl transferase,14.01,9.01,1,-0.636857945,
PMT1993,DNA repair protein RadA,14.01,9.01,1,-0.636857945,
PMT1416,phosphoribosylamine--glycine ligase,67.01,43.01,0.591232904,-0.639704276,
PMT0207,hypothetical protein,413.01,265.01,0.40983794,-0.640129913,
PMT1590,photosystem II PsbX protein,895.01,574.01,0.545984791,-0.640827931,
PMT0569,ribulose-phosphate 3-epimerase,528.01,338.01,0.89904045,-0.643499324,
PMT0693,sugar ABC transporter,25.01,16.01,0.305190201,-0.64353175,
PMT1824,soluble lytic transglycosylase,25.01,16.01,0.431283621,-0.64353175,
PMT1476,c-type cytochrome biogenesis protein CcdA,435.01,278.01,0.720488943,-0.645911788,
PMT2085,"ATP-dependent Clp protease, Hsp 100, ATP-binding subunit ClpB",36.01,23.01,0.52065318,-0.646136616,
PMT1452,F0F1 ATP synthase subunit epsilon,922.01,589.01,0.900911682,-0.64649027,
PMT2091,50S ribosomal protein L7/L12,2208.01,1410.01,0.499465563,-0.647041312,
PMT0545,hypothetical protein,281.01,179.01,0.463854974,-0.650581288,
PMT0308,hydantoinase/oxoprolinase:hydantoinase B/oxoprolinase,11.01,7.01,1,-0.65132812,
PMT1180,photosystem II PsbC protein (CP43),14102.01,8976.01,0.283690107,-0.65175462,
PMT1226,phosphoribosylanthranilate isomerase,33.01,21.01,0.292278087,-0.651826977,
PMT1913,hypothetical protein,33.01,21.01,0.293459722,-0.651826977,
PMT2209,AIR synthase,33.01,21.01,0.34526403,-0.651826977,
PMT2214,arginase,33.01,21.01,0.35555301,-0.651826977,
PMT0583,elongation factor Ts,681.01,433.01,0.530405042,-0.65327564,
PMT0409,hypothetical protein,129.01,82.01,0.411633659,-0.653611156,
PMT0143,rod shape-determining protein MreC,63.01,40.01,0.447380185,-0.655220181,
PMT0902,hypothetical protein,219.01,139.01,0.536244588,-0.655808075,
PMT0110,hypothetical protein,104.01,66.01,0.604091309,-0.655965739,
PMT0411,transaldolase,104.01,66.01,0.333798551,-0.655965739,
PMT1049,tRNA (uracil-5-)-methyltransferase Gid,240.01,152.01,0.519288314,-0.658928282,
PMT1485,fumarate hydratase,117.01,74.01,0.394255222,-0.66083971,
PMT2069,class-I aminotransferase,19.01,12.01,1,-0.662522381,
PMT0122,hypothetical protein,38.01,24.01,0.341105264,-0.662743622,
PMT0269,methylated-DNA--protein-cysteine methyltransferase,65.01,41.01,0.296584308,-0.66468591,
PMT0655,multidrug ABC transporter,92.01,58.01,0.431634266,-0.665489048,
PMT0791,peptide chain release factor 3,54.01,34.01,0.594499473,-0.667267542,
PMT0868,hypothetical protein,35.01,22.01,0.428621086,-0.669607917,
PMT2108,ribosomal biogenesis GTPase,43.01,27.01,0.399822421,-0.671178491,
PMT2207,permease,43.01,27.01,0.429640283,-0.671178491,
PMT0582,hypothetical protein,86.01,54.01,0.592151416,-0.671277857,
PMT0069,hypothetical protein,126.01,79.01,0.606679784,-0.673431062,
PMT0396,2-phosphosulfolactate phosphatase,67.01,42.01,0.46851906,-0.673643621,
PMT1795,chorismate synthase,83.01,52.01,0.60142546,-0.674496107,
PMT1735,50S ribosomal protein L2,1276.01,799.01,0.694004364,-0.675354171,
PMT1749,50S ribosomal protein L15,1363.01,853.01,0.509846867,-0.676161587,
PMT1089,exodeoxyribonuclease V subunit gamma,8.01,5.01,1,-0.676991639,
PMT1219,hypothetical protein,574.01,359.01,0.399192422,-0.677051841,
PMT0781,phosphonate ABC transporter,16.01,10.01,1,-0.677531334,
PMT0692,sugar ABC transporter,32.01,20.01,0.298972101,-0.67780151,
PMT0590,phycocyanobilin:ferredoxin oxidoreductase,40.01,25.01,0.353730155,-0.677855571,
PMT1512,serine protease,40.01,25.01,0.432749613,-0.677855571,
PMT2172,"Fatty acid desaturase, type 1",280.01,175.01,0.528233811,-0.678040992,
PMT2240,formate and nitrite transporters,885.01,552.01,0.505918081,-0.680999354,
PMT1458,hypothetical protein,98.01,61.01,0.613871681,-0.683883225,
PMT1857,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase,45.01,28.01,0.654849864,-0.684303581,
PMT1944,CPA2 family Na+/H+ antiporter,269.01,167.01,0.987241076,-0.687725315,
PMT2097,hypothetical protein,29.01,18.01,0.280873567,-0.687752114,
PMT1296,glutamate-1-semialdehyde aminotransferase,464.01,288.01,0.512041973,-0.688036993,
PMT0517,IMP dehydrogenase,108.01,67.01,0.46851906,-0.688716577,
PMT1977,heat shock protein DnaJ,21.01,13.01,0.332781805,-0.6914552,
PMT0592,insulinase family protein,42.01,26.01,0.554669435,-0.691666387,
PMT1276,hypothetical protein,42.01,26.01,0.313390757,-0.691666387,
PMT1793,abortive infection protein,118.01,73.01,0.643446712,-0.692743132,
PMT1738,30S ribosomal protein S3,1479.01,915.01,0.66821965,-0.692772391,
PMT0726,hypothetical protein,34.01,21.01,0.33017693,-0.694882844,
PMT1645,Glypican,47.01,29.01,0.360757299,-0.696417385,
PMT1734,50S ribosomal protein L23,966.01,596.01,0.707942262,-0.696701587,
PMT1374,seryl-tRNA synthetase,73.01,45.01,0.660335977,-0.697848515,
PMT1733,50S ribosomal protein L4,1559.01,961.01,0.524926709,-0.698006834,
PMT0283,glycyl-tRNA synthetase subunit alpha,26.01,16.01,0.365139082,-0.700093091,
PMT0619,hypothetical protein,26.01,16.01,0.375962701,-0.700093091,
PMT2032,HAD family hydrolase,26.01,16.01,0.489858151,-0.700093091,
PMT1903,nucleotide sugar epimerase,39.01,24.01,0.462501155,-0.700208595,
PMT0055,50S ribosomal protein L20,734.01,451.01,0.531369019,-0.702640296,
PMT1460,nicotinic acid mononucleotide adenylyltransferase,70.01,43.01,0.459068365,-0.702888875,
