Gene Number,Protein ID,Protein Description,COG Category,eggNOG HMM Description,Goterms,Kegg Ko,Localization,Protein Length,Biller et al. 2014 Science paper Table S2 MED4 vesicle detected proteins,Blast % Identity Uniprot,NCBI reference sequence,MIT9312 HL Vesicles Trypsin/Lys-C (COMETa) Did we detect the same vesicle proteins as in Table S2 from homologus MED4 Biller et al. Science 2014,MIT9312 HL Vesicles Trypsin/Lys-C (COMETa) Number specs adjusted (Abacus 9312 Vesicle),MIT9312 HL Vesicles Trypsin/Lys-C (COMETa) Number of specs adjusted normalized to Hi3 (Abacus 9312 Vesicle),MIT9312 HL Vesicles Trypsin/Lys-C (COMETa) Normalized specs adjusted.per.vesicle (Abacus 9312 Vesicle),MIT9312 HL Vesicles Trypsin/Lys-C (COMETa) Normalized specs adjusted.per.vesicle.biovolume (Abacus 9312 Vesicle),MIT9312 HL Cells Trypsin/Lys-C (COMETa) Avg Number specs adjusted (Abacus 9312cells trypsin),MIT9312 HL Cells Trypsin/Lys-C (COMETa) Avg Number specs adjusted normalized to Hi3 (Abacus 9312cells trypsin),MIT9312 HL Cells Trypsin/Lys-C (COMETa) Normalized specs adjusted.per.cell (Abacus 9312cells trypsin),MIT9312 HL Cells Trypsin/Lys-C (COMETa) Normalized specs adjusted.per.cell.biovolume (Abacus 9312cells trypsin),MIT9312 HL Cells Glu-C (COMETa) Avg Number specs adjusted (Abacus 9312cells gluc),MIT9312 HL Cells Glu-C (COMETa) Avg Number specs adjusted normalized to Hi3 (Abacus 9312cells gluc),MIT9312 HL Cells Glu-C (COMETa) Normalized specs adjusted.per.cell (Abacus 9312cells gluc),MIT9312 HL Cells Glu-C (COMETa) Normalized specs adjusted.per.cell.biovolume (Abacus 9312cells gluc)
PMT9312_0230,Q31CV3,Q31CV3_PROM9 Photosystem II manganese-stabilizing protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0230 PE=4 SV=1,M,photosystem II manganese-stabilizing,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0009521,GO:0009523,GO:0009579,GO:0016020,GO:0030075,GO:0030096,GO:0032991,GO:0034357,GO:0042651,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043234,GO:0044422,GO:0044424,GO:0044425,GO:0044436,GO:0044444,GO:0044459,GO:0044464,GO:0071944",K02716,Cytoplasmic,264,,,,,38,0.46,2.60E-12,4.97E-09,905.33,18.6,1.77E-07,8.02E-07,590,8.85,8.43E-08,3.81E-07
PMT9312_0768,Q31BB7,Q31BB7_PROM9 Geranylgeranyl reductase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0768 PE=4 SV=1,H,geranylgeranyl reductase,,K10960,Cytoplasmic,446,,,,,38,0.46,2.60E-12,4.97E-09,105.33,2.16,2.06E-08,9.33E-08,3,0.05,4.29E-10,1.94E-09
rplU,Q319E3,RL21_PROM9 50S ribosomal protein L21 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplU PE=3 SV=1,J,This protein binds to 23S rRNA in the presence of protein L20 (By similarity),,K02888,Cytoplasmic,146,,,,,36,0.44,2.47E-12,4.71E-09,21,0.43,4.11E-09,1.86E-08,16,0.24,2.29E-09,1.03E-08
PMT9312_1448,Q319D7,Q319D7_PROM9 Pentapeptide repeat-containing protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1448 PE=4 SV=1,S,Pentapeptide repeat-containing protein,,,Extracellular,186,,,,,33,0.4,2.26E-12,4.31E-09,604.33,12.42,1.18E-07,5.35E-07,358.67,5.38,5.12E-08,2.32E-07
PMT9312_1235,Q31A01,Q31A01_PROM9 Secretion protein HlyD OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1235 PE=3 SV=1,V,"Efflux transporter, RND family, MFP subunit",,K02005,Cytoplasmic,353,gi|33861695|ref|NP_893256.1| membrane fusion protein,83,WP_011132772.1,Yes,32,0.39,2.19E-12,4.18E-09,52.33,1.08,1.02E-08,4.63E-08,40.67,0.61,5.81E-09,2.63E-08
PMT9312_1225,Q31A11,Q31A11_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1225 PE=4 SV=1,S,Cupin domain,,,Unknown,140,,,,,30,0.37,2.06E-12,3.92E-09,14.33,0.29,2.80E-09,1.27E-08,3,0.05,4.29E-10,1.94E-09
PMT9312_0954,Q31AT1,Q31AT1_PROM9 Uncharacterized secreted protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0954 PE=4 SV=1,S,"secreted proteins, Ya",,,CytoplasmicMembrane,147,,,,,30,0.37,2.06E-12,3.92E-09,12,0.25,2.35E-09,1.06E-08,,,,
PMT9312_0486,Q31C48,Q31C48_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0486 PE=4 SV=1,S,,,,Unknown,97,,,,,30,0.37,2.06E-12,3.92E-09,8,0.16,1.57E-09,7.08E-09,4.67,0.07,6.67E-10,3.02E-09
PMT9312_0101,Q31D83,Q31D83_PROM9 RND family outer membrane efflux protein-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0101 PE=4 SV=1,M,outer membrane efflux protein,,K03287,OuterMembrane,477,gi|33860657|ref|NP_892218.1| RND family outer membrane efflux protein,67.9,WP_011131735.1,Yes,26,0.32,1.78E-12,3.40E-09,26,0.53,5.09E-09,2.30E-08,16.33,0.25,2.33E-09,1.06E-08
PMT9312_1375,Q319L0,Q319L0_PROM9 Polysaccharide export-related periplasmic protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1375 PE=4 SV=1,M,polysaccharide export protein,,K01991,Unknown,415,,,,,24,0.29,1.64E-12,3.14E-09,38.33,0.79,7.50E-09,3.39E-08,7.67,0.12,1.10E-09,4.96E-09
rplT,Q317Y0,RL20_PROM9 50S ribosomal protein L20 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplT PE=3 SV=1,J,Binds directly to 23S ribosomal RNA and is necessary for the in vitro assembly process of the 50S ribosomal subunit. It is not involved in the protein synthesizing functions of that subunit (By similarity),,K02887,Cytoplasmic,115,gi|33862218|ref|NP_893779.1| 50S ribosomal protein L20,95.7,WP_011133289.1,Yes,24,0.29,1.64E-12,3.14E-09,14,0.29,2.74E-09,1.24E-08,,,,
rplA,Q31CX8,RL1_PROM9 50S ribosomal protein L1 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplA PE=3 SV=1,J,"Binds directly to 23S rRNA. The L1 stalk is quite mobile in the ribosome, and is involved in E site tRNA release (By similarity)",,K02863,Cytoplasmic,235,,,,,23,0.28,1.58E-12,3.01E-09,139.67,2.87,2.73E-08,1.24E-07,3.33,0.05,4.76E-10,2.15E-09
PMT9312_0216,Q31CW7,Q31CW7_PROM9 Putative sulfate transporter OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0216 PE=3 SV=1,P,Sulfate transporter,,K03321,CytoplasmicMembrane,550,,,,,23,0.28,1.58E-12,3.01E-09,86.67,1.78,1.70E-08,7.67E-08,24.33,0.37,3.48E-09,1.57E-08
rpsN,Q319U5,RS14_PROM9 30S ribosomal protein S14 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsN PE=3 SV=1,J,"Binds 16S rRNA, required for the assembly of 30S particles and may also be responsible for determining the conformation of the 16S rRNA at the A site (By similarity)",,K02954,Cytoplasmic,100,,,,,23,0.28,1.58E-12,3.01E-09,19.33,0.4,3.78E-09,1.71E-08,,,,
mnmA,Q319J8,MNMA_PROM9 tRNA-specific 2-thiouridylase MnmA OS=Prochlorococcus marinus (strain MIT 9312) GN=mnmA PE=3 SV=1,J,"Catalyzes the 2-thiolation of uridine at the wobble position (U34) of tRNA, leading to the formation of s(2)U34 (By similarity)","GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K00566,Cytoplasmic,385,,,,,22,0.27,1.51E-12,2.88E-09,7.33,0.15,1.44E-09,6.49E-09,,,,
tuf,Q318N5,EFTU_PROM9 Elongation factor Tu OS=Prochlorococcus marinus (strain MIT 9312) GN=tuf PE=3 SV=1,J,This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis (By similarity),"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K02358,Cytoplasmic,399,,,,,20,0.24,1.37E-12,2.61E-09,535.67,11.01,1.05E-07,4.74E-07,469,7.04,6.70E-08,3.03E-07
PMT9312_1281,Q319V5,"Q319V5_PROM9 Signal peptide peptidase A, Serine peptidase, MEROPS family S49 OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1281 PE=4 SV=1",O,signal peptide peptidase SppA,,K04773,CytoplasmicMembrane,269,,,,,20,0.24,1.37E-12,2.61E-09,49,1.01,9.59E-09,4.34E-08,21,0.32,3.00E-09,1.36E-08
PMT9312_0812,Q31B73,Q31B73_PROM9 Ferritin OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0812 PE=3 SV=1,P,ferritin,,,Cytoplasmic,184,,,,,19,0.23,1.30E-12,2.48E-09,70,1.44,1.37E-08,6.20E-08,35,0.53,5.00E-09,2.26E-08
PMT9312_0553,Q31BY1,Q31BY1_PROM9 Carboxysome shell protein CsoS3 OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0553 PE=4 SV=1,S,carboxysome shell,,,Cytoplasmic,509,,,,,19,0.23,1.30E-12,2.48E-09,12.33,0.25,2.41E-09,1.09E-08,,,,
PMT9312_1134,Q31AA2,Q31AA2_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1134 PE=4 SV=1,S,,,,CytoplasmicMembrane,559,gi|33861718|ref|NP_893279.1| hypothetical protein,40,WP_011132796.1,Yes,19,0.23,1.30E-12,2.48E-09,4.67,0.1,9.13E-10,4.13E-09,6,0.09,8.57E-10,3.88E-09
PMT9312_1723,Q318B1,Q318B1_PROM9 Magnesium transporter MgtE OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1723 PE=3 SV=1,P,Transporter,,K06213,CytoplasmicMembrane,468,,,,,18,0.22,1.23E-12,2.35E-09,27.33,0.56,5.35E-09,2.42E-08,14.67,0.22,2.10E-09,9.48E-09
pgk,Q31CY6,PGK_PROM9 Phosphoglycerate kinase OS=Prochlorococcus marinus (strain MIT 9312) GN=pgk PE=3 SV=1,G,phosphoglycerate kinase,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K00927,Cytoplasmic,402,,,,,17,0.21,1.16E-12,2.22E-09,133.67,2.75,2.62E-08,1.18E-07,145.33,2.18,2.08E-08,9.39E-08
PMT9312_1181,Q31A55,Q31A55_PROM9 Outer membrane protein-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1181 PE=4 SV=1,M,Membrane,,,Unknown,606,,,,,17,0.21,1.16E-12,2.22E-09,38,0.78,7.44E-09,3.36E-08,23,0.35,3.29E-09,1.49E-08
PMT9312_1862,A7FAG4,A7FAG4_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1862 PE=4 SV=1,S,,,,Unknown,68,,,,,17,0.21,1.16E-12,2.22E-09,5.33,0.11,1.04E-09,4.72E-09,,,,
PMT9312_0861,Q31B24,Q31B24_PROM9 Serine hydroxymethyltransferase-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0861 PE=4 SV=1,S,Serine hydroxymethyltransferase,,,Cytoplasmic,155,,,,,17,0.21,1.16E-12,2.22E-09,2.67,0.05,5.22E-10,2.36E-09,,,,
PMT9312_0581,Q31BV3,Q31BV3_PROM9 Plastocyanin OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0581 PE=4 SV=1,C,Participates in electron transfer between P700 and the cytochrome b6-f complex in photosystem I,,K02638,Periplasmic,116,,,,,16,0.2,1.10E-12,2.09E-09,137,2.82,2.68E-08,1.21E-07,189.33,2.84,2.70E-08,1.22E-07
PMT9312_0720,Q31BG5,Q31BG5_PROM9 Putative secreted protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0720 PE=4 SV=1,F,Alkaline phosphatase,,,OuterMembrane,760,,,,,16,0.2,1.10E-12,2.09E-09,9.33,0.19,1.83E-09,8.26E-09,,,,
PMT9312_1485,Q319A0,Q319A0_PROM9 Carbon storage regulator-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1485 PE=4 SV=1,S,,,,Unknown,158,,,,,16,0.2,1.10E-12,2.09E-09,,,,,,,,
PMT9312_1450,Q319D5,Q319D5_PROM9 Ferredoxin (2Fe-2S) OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1450 PE=4 SV=1,C,Ferredoxin,"GO:0003674,GO:0005488,GO:0009055,GO:0051536,GO:0051537,GO:0051540",K02639,Unknown,99,,,,,15,0.18,1.03E-12,1.96E-09,256,5.26,5.01E-08,2.27E-07,569.33,8.54,8.13E-08,3.68E-07
rpsF,Q317T5,RS6_PROM9 30S ribosomal protein S6 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsF PE=3 SV=1,J,Binds together with S18 to 16S ribosomal RNA (By similarity),,K02990,Cytoplasmic,152,,,,,15,0.18,1.03E-12,1.96E-09,35,0.72,6.85E-09,3.10E-08,18.67,0.28,2.67E-09,1.21E-08
rpsS,Q318I8,RS19_PROM9 30S ribosomal protein S19 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsS PE=3 SV=1,J,Protein S19 forms a complex with S13 that binds strongly to the 16S ribosomal RNA (By similarity),,K02965,Cytoplasmic,92,gi|33862110|ref|NP_893671.1| 30S ribosomal protein S19,94.5,WP_011133182.1,Yes,15,0.18,1.03E-12,1.96E-09,19.67,0.4,3.85E-09,1.74E-08,12.67,0.19,1.81E-09,8.19E-09
PMT9312_0887,Q31AZ8,Q31AZ8_PROM9 ABC transporter-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0887 PE=3 SV=1,V,ABC transporter,,K02004,CytoplasmicMembrane,398,gi|33861470|ref|NP_893031.1| ABC transporter,92,WP_011132546.1,Yes,15,0.18,1.03E-12,1.96E-09,18,0.37,3.52E-09,1.59E-08,6.33,0.1,9.05E-10,4.09E-09
PMT9312_0066,Q31DB8,Q31DB8_PROM9 High light inducible protein-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0066 PE=4 SV=1,S,High light inducible protein,,,Unknown,91,,,,,15,0.18,1.03E-12,1.96E-09,17.33,0.36,3.39E-09,1.53E-08,,,,
rpmH,Q319V2,RL34_PROM9 50S ribosomal protein L34 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpmH PE=3 SV=1,J,,,,Unknown,45,,,,,15,0.18,1.03E-12,1.96E-09,,,,,,,,
PMT9312_0809,Q31B76,Q31B76_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0809 PE=4 SV=1,G,epimerase dehydratase,,,Cytoplasmic,219,,,,,14,0.17,9.59E-13,1.83E-09,8,0.16,1.57E-09,7.08E-09,2,0.03,2.86E-10,1.29E-09
rpsQ,Q318J3,RS17_PROM9 30S ribosomal protein S17 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsQ PE=3 SV=1,J,"One of the primary rRNA binding proteins, it binds specifically to the 5'-end of 16S ribosomal",,K02961,Cytoplasmic,88,,,,,13,0.16,8.91E-13,1.70E-09,58.67,1.21,1.15E-08,5.19E-08,37.67,0.57,5.38E-09,2.43E-08
rpsI,Q318L1,RS9_PROM9 30S ribosomal protein S9 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsI PE=3 SV=1,J,30S ribosomal protein S9,,K02996,Cytoplasmic,136,,,,,13,0.16,8.91E-13,1.70E-09,16,0.33,3.13E-09,1.42E-08,3.33,0.05,4.76E-10,2.15E-09
PMT9312_0105,Q31D79,Q31D79_PROM9 Thioredoxin domain 2 OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0105 PE=4 SV=1,S,Vitamin K epoxide reductase,,,CytoplasmicMembrane,311,,,,,13,0.16,8.91E-13,1.70E-09,12,0.25,2.35E-09,1.06E-08,10,0.15,1.43E-09,6.46E-09
rpsK,Q318K6,RS11_PROM9 30S ribosomal protein S11 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsK PE=3 SV=1,J,"Located on the platform of the 30S subunit, it bridges several disparate RNA helices of the 16S rRNA. Forms part of the Shine-Dalgarno cleft in the 70S ribosome (By similarity)",,K02948,Cytoplasmic,130,,,,,13,0.16,8.91E-13,1.70E-09,3.33,0.07,6.52E-10,2.95E-09,,,,
PMT9312_1261,Q319X5,"Q319X5_PROM9 Putative iron ABC transporter, substrate binding protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1261 PE=4 SV=1",P,iron ABC transporter substrate binding protein,"GO:0005575,GO:0005622,GO:0005623,GO:0005886,GO:0009579,GO:0016020,GO:0034357,GO:0042651,GO:0044424,GO:0044436,GO:0044464,GO:0071944",K02012,Periplasmic,343,"gi|33861720|ref|NP_893281.1| iron ABC transporter, substrate binding protein",66.2,WP_011132798.1,Yes,12,0.15,8.22E-13,1.57E-09,10.33,0.21,2.02E-09,9.15E-09,,,,
groL1,Q31C83,CH601_PROM9 60 kDa chaperonin 1 OS=Prochlorococcus marinus (strain MIT 9312) GN=groL1 PE=3 SV=1,O,Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions (By similarity),"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K04077,Cytoplasmic,584,,,,,11,0.13,7.54E-13,1.44E-09,233,4.79,4.56E-08,2.06E-07,135.33,2.03,1.93E-08,8.75E-08
PMT9312_0483,Q31C51,"Q31C51_PROM9 SPFH domain, Band 7 family protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0483 PE=4 SV=1",S,Band 7 protein,,,Unknown,267,,,,,11,0.13,7.54E-13,1.44E-09,126,2.59,2.47E-08,1.12E-07,39,0.59,5.57E-09,2.52E-08
rpsB,Q31BC4,RS2_PROM9 30S ribosomal protein S2 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsB PE=3 SV=1,J,30S ribosomal protein S2,,K02967,Cytoplasmic,233,,,,,11,0.13,7.54E-13,1.44E-09,37.67,0.77,7.37E-09,3.34E-08,,,,
rpmC,Q318J2,RL29_PROM9 50S ribosomal protein L29 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpmC PE=3 SV=1,J,,,,Unknown,72,,,,,11,0.13,7.54E-13,1.44E-09,20.33,0.42,3.98E-09,1.80E-08,4.67,0.07,6.67E-10,3.02E-09
PMT9312_0542,Q31BZ2,Q31BZ2_PROM9 NADPH-protochlorophyllide oxidoreductase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0542 PE=4 SV=1,H,protochlorophyllide oxido-reductase,,K00218,Cytoplasmic,334,,,,,11,0.13,7.54E-13,1.44E-09,19,0.39,3.72E-09,1.68E-08,,,,
PMT9312_0548,Q31BY6,Q31BY6_PROM9 HAM1 family protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0548 PE=4 SV=1,F,Ham1 family,,,Cytoplasmic,194,,,,,11,0.13,7.54E-13,1.44E-09,16.67,0.34,3.26E-09,1.48E-08,9.67,0.15,1.38E-09,6.25E-09
PMT9312_0807,Q31B78,Q31B78_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0807 PE=4 SV=1,S,Domain of unknown function (DUF296),,,Cytoplasmic,203,,,,,11,0.13,7.54E-13,1.44E-09,16,0.33,3.13E-09,1.42E-08,,,,
PMT9312_1047,Q31AI9,Q31AI9_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1047 PE=4 SV=1,S,,,,Unknown,77,,,,,11,0.13,7.54E-13,1.44E-09,3.33,0.07,6.52E-10,2.95E-09,,,,
PMT9312_1446,Q319D9,Q319D9_PROM9 Sporulation protein SpoIID-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1446 PE=4 SV=1,D,sporulation protein,,K06381,Unknown,391,gi|33861904|ref|NP_893465.1| sporulation protein SpoIID-like,73.6,WP_011132982.1,Yes,11,0.13,7.54E-13,1.44E-09,,,,,,,,
PMT9312_1168,Q31A68,"Q31A68_PROM9 Amino acid ABC transporter substrate-binding protein, PAAT family OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1168 PE=4 SV=1",E,ABC transporter,,,Periplasmic,349,,,,,10,0.12,6.85E-13,1.31E-09,30.33,0.62,5.94E-09,2.69E-08,11.33,0.17,1.62E-09,7.33E-09
PMT9312_0783,Q31BA2,Q31BA2_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0783 PE=4 SV=1,S,,,,Unknown,96,,,,,10,0.12,6.85E-13,1.31E-09,25.67,0.53,5.02E-09,2.27E-08,31.67,0.48,4.52E-09,2.05E-08
PMT9312_0094,Q31D90,Q31D90_PROM9 PDZ/DHR/GLGF protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0094 PE=4 SV=1,O,serine protease,,,Unknown,373,gi|33860650|ref|NP_892211.1| serine protease,75.3,WP_011131728.1,Yes,10,0.12,6.85E-13,1.31E-09,9,0.18,1.76E-09,7.97E-09,,,,
dnaK,Q317T7,Q317T7_PROM9 Chaperone protein DnaK OS=Prochlorococcus marinus (strain MIT 9312) GN=dnaK PE=2 SV=1,O,Acts as a chaperone (By similarity),,K04043,Cytoplasmic,645,,,,,9,0.11,6.17E-13,1.18E-09,289,5.94,5.66E-08,2.56E-07,117,1.76,1.67E-08,7.56E-08
PMT9312_0944,Q31AU1,Q31AU1_PROM9 Thioredoxin peroxidase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0944 PE=4 SV=1,O,Thioredoxin peroxidase,,K03386,Cytoplasmic,194,,,,,9,0.11,6.17E-13,1.18E-09,247.67,5.09,4.85E-08,2.19E-07,270,4.05,3.86E-08,1.75E-07
ftsH,Q319M7,Q319M7_PROM9 ATP-dependent zinc metalloprotease FtsH OS=Prochlorococcus marinus (strain MIT 9312) GN=ftsH PE=3 SV=1,O,"Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins (By similarity)","GO:0005575,GO:0005622,GO:0005623,GO:0009579,GO:0016020,GO:0034357,GO:0042651,GO:0044424,GO:0044436,GO:0044464",K03798,CytoplasmicMembrane,620,,,,,9,0.11,6.17E-13,1.18E-09,134.67,2.77,2.64E-08,1.19E-07,45.67,0.69,6.52E-09,2.95E-08
PMT9312_0291,Q31CP3,Q31CP3_PROM9 Putative ABC transporter OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0291 PE=4 SV=1,Q,ABC transporter,,K02067,Cytoplasmic,281,,,,,9,0.11,6.17E-13,1.18E-09,24,0.49,4.70E-09,2.13E-08,,,,
PMT9312_1286,Q319V0,Q319V0_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1286 PE=4 SV=1,S,,,,Unknown,137,,,,,9,0.11,6.17E-13,1.18E-09,19.67,0.4,3.85E-09,1.74E-08,,,,
rpmF,Q31AT8,RL32_PROM9 50S ribosomal protein L32 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpmF PE=3 SV=1,J,,,,Unknown,56,,,,,9,0.11,6.17E-13,1.18E-09,4,0.08,7.83E-10,3.54E-09,4,0.06,5.71E-10,2.59E-09
PMT9312_1157,Q31A79,Q31A79_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1157 PE=4 SV=1,S,,,,Unknown,140,,,,,9,0.11,6.17E-13,1.18E-09,1.33,0.03,2.61E-10,1.18E-09,,,,
PMT9312_0673,Q31BL1,Q31BL1_PROM9 Phosphonate-binding periplasmic protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0673 PE=4 SV=1,P,Phosphonate ABC transporter,,K02044,Periplasmic,297,,,,,8,0.1,5.48E-13,1.05E-09,2.33,0.05,4.57E-10,2.07E-09,4,0.06,5.71E-10,2.59E-09
PMT9312_0077,Q31DA7,Q31DA7_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0077 PE=4 SV=1,S,Rho termination,,K09942,OuterMembrane,366,,,,,7,0.09,4.80E-13,9.15E-10,98,2.01,1.92E-08,8.68E-08,26.33,0.4,3.76E-09,1.70E-08
PMT9312_0412,Q31CC2,Q31CC2_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0412 PE=4 SV=1,S,,,,Unknown,63,,,,,7,0.09,4.80E-13,9.15E-10,20.67,0.42,4.04E-09,1.83E-08,41,0.62,5.86E-09,2.65E-08
PMT9312_0757,Q31BC8,Q31BC8_PROM9 DevC protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0757 PE=3 SV=1,V,DevC protein,,K02004,CytoplasmicMembrane,390,,,,,7,0.09,4.80E-13,9.15E-10,6,0.12,1.17E-09,5.31E-09,,,,
PMT9312_1660,Q318H4,Q318H4_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1660 PE=4 SV=1,S,,,,Unknown,123,,,,,7,0.09,4.80E-13,9.15E-10,5.67,0.12,1.11E-09,5.02E-09,5.67,0.09,8.10E-10,3.66E-09
PMT9312_1194,Q31A42,Q31A42_PROM9 Type II secretory pathway component PulD-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1194 PE=3 SV=1,U,Type II and III secretion system protein,,,OuterMembrane,556,,,,,7,0.09,4.80E-13,9.15E-10,3,0.06,5.87E-10,2.66E-09,2.33,0.04,3.33E-10,1.51E-09
fusA,Q318N4,EFG_PROM9 Elongation factor G OS=Prochlorococcus marinus (strain MIT 9312) GN=fusA PE=3 SV=1,J,"Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post- translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome (By similarity)","GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K02355,Cytoplasmic,691,,,,,6,0.07,4.11E-13,7.84E-10,188.67,3.88,3.69E-08,1.67E-07,67.67,1.02,9.67E-09,4.37E-08
PMT9312_0013,Q31DH1,Q31DH1_PROM9 RNA-binding region RNP-1 OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0013 PE=4 SV=1,S,Rna-binding protein,,,Unknown,222,,,,,6,0.07,4.11E-13,7.84E-10,113.33,2.33,2.22E-08,1.00E-07,27,0.41,3.86E-09,1.75E-08
hemL,Q31C50,"GSA_PROM9 Glutamate-1-semialdehyde 2,1-aminomutase OS=Prochlorococcus marinus (strain MIT 9312) GN=hemL PE=3 SV=1",H,Glutamate-1-semialdehyde aminotransferase,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K01845,Cytoplasmic,434,,,,,6,0.07,4.11E-13,7.84E-10,92,1.89,1.80E-08,8.15E-08,53.67,0.81,7.67E-09,3.47E-08
